City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beitbridge,-22.2167,30.0,303.07,39,34,1.86,ZW,1675707635
1,albany,42.6001,-73.9662,277.8,74,99,1.79,US,1675707513
2,ames,42.0347,-93.6199,280.75,78,0,9.77,US,1675707344
3,rikitea,-23.1203,-134.9692,298.84,74,16,2.55,PF,1675707249
4,cape town,-33.9258,18.4232,297.23,78,20,6.17,ZA,1675707083
5,nanortalik,60.1432,-45.2371,263.29,87,100,3.43,GL,1675707636
6,inuvik,68.3499,-133.7218,239.63,68,75,2.06,CA,1675707636
7,leningradskiy,69.3833,178.4167,238.82,99,99,3.47,RU,1675707312
8,butaritari,3.0707,172.7902,299.87,83,99,8.0,KI,1675707269
9,huangchuan,32.1272,115.0394,281.9,81,98,2.36,CN,1675707637
10,kapaa,22.0752,-159.319,294.88,95,16,1.34,US,1675707238
11,kodiak,57.79,-152.4072,273.88,64,0,2.06,US,1675707329
12,vermilion,40.1667,-87.7506,281.48,59,0,5.14,US,1675707355
13,ushuaia,-54.8,-68.3,286.96,67,75,10.29,AR,1675707234
14,pacific grove,36.6177,-121.9166,285.68,79,0,3.58,US,1675707078
15,upernavik,72.7868,-56.1549,249.59,94,100,4.12,GL,1675707278
16,ancud,-41.8697,-73.8203,289.97,64,4,4.1,CL,1675707431
17,markala,13.7021,-6.0659,305.87,10,99,2.74,ML,1675707637
18,cayenne,4.9333,-52.3333,299.17,89,100,6.17,GF,1675707637
19,tasiilaq,65.6145,-37.6368,263.24,97,76,1.54,GL,1675707297
20,pinellas park,27.8428,-82.6995,299.29,60,0,3.09,US,1675707170
21,atuona,-9.8,-139.0333,298.86,73,32,7.23,PF,1675707259
22,richards bay,-28.783,32.0377,296.85,88,7,0.96,ZA,1675707638
23,laguna,38.421,-121.4238,284.91,77,0,5.14,US,1675707343
24,mingaora,34.7758,72.3625,279.88,71,3,2.87,PK,1675707638
25,labuhan,-6.8844,112.2051,297.52,87,100,2.78,ID,1675707638
26,pangnirtung,66.1451,-65.7125,239.15,62,20,1.54,CA,1675707417
27,bambous virieux,-20.3428,57.7575,300.29,78,40,3.09,MU,1675707594
28,lorengau,-2.0226,147.2712,299.68,83,100,2.72,PG,1675707639
29,puerto ayora,-0.7393,-90.3518,303.13,88,63,5.81,EC,1675707350
30,iqaluit,63.7506,-68.5145,243.0,61,20,4.63,CA,1675707639
31,cannes,43.55,7.0167,283.15,58,100,2.06,FR,1675707639
32,saint-philippe,-21.3585,55.7679,299.92,84,74,5.12,RE,1675707281
33,kruisfontein,-34.0033,24.7314,296.42,90,64,1.1,ZA,1675707390
34,qaanaaq,77.484,-69.3632,247.0,98,99,1.43,GL,1675707095
35,sitka,57.0531,-135.33,276.09,87,100,4.63,US,1675707128
36,busselton,-33.65,115.3333,292.09,82,29,5.28,AU,1675707102
37,east london,-33.0153,27.9116,297.67,88,0,6.69,ZA,1675707246
38,alyangula,-13.8483,136.4192,300.64,67,36,3.51,AU,1675707640
39,kavaratti,10.5669,72.642,300.3,73,10,4.73,IN,1675707640
40,port elizabeth,-33.918,25.5701,297.77,87,20,2.57,ZA,1675707438
41,clyde river,70.4692,-68.5914,239.28,68,20,1.54,CA,1675707641
42,callaguip,18.0714,120.4867,297.16,88,75,1.03,PH,1675707641
43,lamballe,48.4676,-2.5144,279.86,76,1,3.63,FR,1675707641
44,aguas belas,-9.1114,-37.1231,304.38,43,96,7.01,BR,1675707642
45,new norfolk,-42.7826,147.0587,285.21,59,63,0.89,AU,1675707345
46,catuday,16.2923,119.8062,297.81,77,72,3.29,PH,1675707642
47,chumikan,54.7183,135.315,249.13,89,67,2.85,RU,1675707642
48,alofi,-19.0595,-169.9187,298.09,94,99,1.54,NU,1675707453
49,muroto,33.2833,134.15,283.84,67,100,4.1,JP,1675707642
50,bredasdorp,-34.5322,20.0403,295.17,86,87,5.13,ZA,1675707308
51,zabaykalsk,49.6333,117.3167,251.22,99,43,3.22,RU,1675707643
52,noumea,-22.2763,166.4572,302.04,99,84,4.44,NC,1675707643
53,vaini,-21.2,-175.2,299.16,74,96,2.14,TO,1675707279
54,saint albans,51.75,-0.3333,280.66,73,39,2.06,GB,1675707643
55,bilibino,68.0546,166.4372,235.87,100,100,0.66,RU,1675707556
56,wanning,18.8003,110.3967,295.26,91,28,1.04,CN,1675707543
57,saskylakh,71.9167,114.0833,244.55,99,100,2.0,RU,1675707241
58,weymouth,42.2209,-70.9398,283.18,56,75,7.2,US,1675707644
59,berlevag,70.8578,29.0864,275.15,86,100,16.98,NO,1675707644
60,provideniya,64.3833,-173.3,250.01,98,82,1.48,RU,1675707337
61,nikolskoye,59.7035,30.7861,271.09,94,99,2.82,RU,1675707266
62,bluff,-46.6,168.3333,289.21,69,58,8.68,NZ,1675707306
63,pangody,65.85,74.4859,244.87,100,100,0.93,RU,1675707541
64,ribeira grande,38.5167,-28.7,288.37,67,40,11.83,PT,1675707380
65,cabo san lucas,22.8909,-109.9124,299.55,47,0,2.06,MX,1675707395
